target,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
63,6.132812499999999,5.88,6.258333333333333,6.299999999999998,4.386363636363638,5.324242424242424,6.299999999999998,5.629545454545454,5.453125000000001,6.001324503311258,8.877,1.108,6.281,1.052,3.196,1.116,1.4,2.171,0.624,8.133,6.644999999999999,6.454838709677419,6.284615384615383,6.644999999999999,6.476470588235293,6.1882352941176455,6.1882352941176455,1.484,1.051,4.712,1.484,1.631,1.4,1.166
71,5.872000000000001,6.084146341463414,6.78695652173913,6.294117647058823,6.138333333333333,6.437037037037039,5.844444444444445,7.099999999999999,6.046153846153848,6.633333333333332,7.469,5.614,8.164,3.236,4.549,2.726,5.579,1.4,4.759,1.138,6.604545454545453,6.05263157894737,6.41875,5.33,6.16857142857143,6.388888888888888,5.33,1.412,1.62,7.469,5.041,2.962,1.535,5.041
70,6.081521739130435,6.376,5.690909090909092,5.8375,6.08,5.789333333333334,5.77,6.183870967741935,7.144444444444444,6.75,7.469,8.164,4.759,5.282,4.549,5.579,3.134,1.138,3.938,1.4,6.695652173913042,6.113333333333334,6.905882352941177,6.319999999999999,6.7700000000000005,6.964705882352941,7.0,1.412,1.62,7.469,1.105,2.527,2.852,1.15
74,6.837837837837837,5.727450980392157,6.230434782608694,6.8695652173913055,6.44390243902439,5.520408163265306,7.480000000000001,6.840000000000002,6.443478260869566,6.015789473684211,18.685,3.589,7.26,3.938,7.514,2.629,1.209,0.612,1.4,1.601,5.917647058823529,6.307792207792206,7.400000000000001,7.7200000000000015,5.917647058823529,5.917647058823529,5.917647058823529,4.632,1.614,1.863,2.046,4.632,4.632,4.632
68,5.979310344827585,5.90625,5.62,6.1436363636363645,5.992929292929292,5.239175257731957,6.478947368421051,4.791379310344829,7.455555555555555,5.885135135135136,8.926,14.336,9.638,4.426,5.833,8.959,2.23,1.808,1.216,2.373,6.146153846153845,5.856521739130436,6.419999999999999,6.599999999999998,6.146153846153845,6.63793103448276,6.599999999999998,4.41,0.98,3.623,1.027,4.41,3.987,1.027
73,6.130612244897959,6.627659574468084,6.819999999999998,6.690476190476191,7.299999999999998,4.946341463414635,6.519230769230768,7.299999999999998,7.299999999999998,6.364999999999998,11.481,5.601,2.43,5.03,1.282,1.702,1.705,0.735,0.6,0.98,7.138888888888889,6.074736842105264,7.138888888888889,3.8874999999999993,4.056521739130434,3.8874999999999993,4.056521739130434,5.601,1.598,5.601,0.694,1.4,0.694,1.4
75,6.368421052631579,5.996,6.285981308411213,6.512820512820514,5.971428571428572,5.995,7.5,6.5,7.5,7.5,6.783,9.568,6.662,6.652,2.472,1.702,1.935,1.4,0.98,1.14,7.025,5.067647058823529,6.810526315789472,7.025,7.025,7.025,7.025,3.562,0.98,5.107,3.562,3.562,3.562,3.562
75,6.559016393442623,6.45,5.715,6.0744186046511635,6.75,6.359090909090909,6.278723404255321,6.55,4.5,5.837288135593221,9.913,2.855,4.355,1.473,2.302,1.012,3.042,1.38,0.98,2.857,7.2,6.422222222222223,7.2,7.405882352941177,5.760000000000001,5.834375,7.2,9.913,2.296,9.913,0.748,2.606,1.4,9.913
63,6.379999999999998,5.784000000000001,6.088148148148149,5.6325,6.011392405063289,6.029166666666666,5.531999999999999,5.4045454545454525,5.2823529411764705,5.184,11.026,10.208,6.328,4.393,5.74,6.734,1.933,2.944,3.182,1.402,6.56969696969697,6.148214285714287,6.277777777777775,6.56969696969697,6.56969696969697,6.56969696969697,6.56969696969697,2.844,1.388,2.628,2.844,2.844,2.844,2.844
74,6.560714285714286,6.448484848484852,4.7637931034482754,5.73116883116883,5.953333333333335,6.090740740740739,6.192592592592593,6.920000000000002,5.9,5.308510638297873,8.597,8.616,3.719,6.074,2.291,5.589,10.616,1.719,1.76,2.847,6.671428571428571,6.385964912280699,6.671428571428571,6.671428571428571,6.671428571428571,6.671428571428571,6.671428571428571,2.709,1.38,2.709,2.709,2.709,2.709,2.709
73,5.950467289719626,6.634090909090909,6.180882352941175,6.283333333333334,6.647457627118644,6.0488888888888885,5.938983050847458,6.109756097560975,6.431343283582088,6.534285714285714,21.291,16.831,10.245,33.908,32.419,9.568,7.9,13.282,3.519,3.825,6.764285714285713,6.3504854368932016,6.074626865671642,6.764285714285713,6.764285714285713,6.764285714285713,6.764285714285713,6.182,0.716,1.22,6.182,6.182,6.182,6.182
83,6.199999999999998,7.075925925925926,6.523170731707316,6.863636363636365,6.845205479452055,6.169090909090907,6.536486486486484,6.358510638297871,7.58888888888889,6.757352941176471,15.208,12.022,10.151,29.025,30.729,10.559,5.062,8.897,6.693,11.665,7.435,6.4818181818181815,6.452252252252254,7.691999999999999,7.691999999999999,7.435,7.435,3.708,7.5,1.312,4.694,4.179,3.708,3.708
83,6.167857142857142,6.992682926829268,7.035294117647059,6.885915492957746,7.054838709677419,7.264285714285713,7.503846153846155,6.019444444444442,6.796491228070178,7.033333333333334,15.208,29.025,12.022,30.729,11.665,12.087,6.693,5.062,8.616,14.038,7.152631578947367,6.794999999999999,6.485321100917434,7.479166666666665,7.479166666666665,7.152631578947367,7.152631578947367,3.708,7.5,1.312,4.694,4.179,3.708,3.708
63,5.840366972477066,5.826923076923076,5.694117647058825,6.416666666666665,5.599999999999999,5.1117647058823525,6.059999999999999,5.916666666666667,6.263157894736842,5.593103448275861,19.222,4.558,6.832,3.147,1.4,0.632,0.79,1.648,5.618,2.322,6.185714285714285,6.299999999999998,6.185714285714285,6.185714285714285,6.185714285714285,6.185714285714285,6.185714285714285,3.519,0.6,3.519,3.519,3.519,3.519,3.519
74,7.809090909090912,6.50561797752809,6.8692307692307715,6.162162162162163,6.236585365853659,6.356923076923076,6.05294117647059,5.510714285714284,6.415789473684211,6.093750000000001,6.205,7.932,8.588,8.302,7.477,7.265,11.634,1.907,1.4,1.652,6.619354838709678,6.644444444444445,6.619354838709678,6.619354838709678,6.619354838709678,6.619354838709678,6.619354838709678,5.041,0.6,5.041,5.041,5.041,5.041,5.041
83,6.9421052631578934,5.920588235294118,7.2222222222222205,6.636363636363637,7.499999999999998,5.074999999999999,6.103703703703703,6.768181818181817,5.954545454545453,6.162962962962962,5.873,5.078,4.695,4.559,2.184,1.81,1.223,1.547,1.044,1.73,7.369999999999999,7.0649999999999995,7.369999999999999,7.369999999999999,7.369999999999999,7.369999999999999,7.369999999999999,2.946,1.837,2.946,2.946,2.946,2.946,2.946
72,5.751351351351353,5.785714285714285,6.208333333333333,6.491891891891892,6.703703703703703,6.617647058823531,4.969230769230769,6.312500000000002,5.410891089108911,6.01111111111111,18.274,5.238,3.129,6.837,5.978,2.981,1.052,1.313,2.396,1.826,5.738095238095239,5.738095238095239,6.094444444444445,6.507142857142858,6.694736842105264,7.200000000000002,6.507142857142858,1.646,1.456,1.001,1.705,1.4,1.023,1.705
69,6.323170731707315,5.947826086956524,6.12,5.550000000000001,6.693750000000001,4.7972222222222225,6.077777777777778,5.700000000000002,6.242105263157896,6.608695652173913,10.745,3.947,2.092,4.076,0.69,1.4,1.704,3.279,0.84,0.6,6.906250000000002,6.447058823529412,6.450000000000001,6.906250000000002,6.906250000000002,6.906250000000002,6.906250000000002,0.84,0.6,0.6,0.84,0.84,0.84,0.84
71,6.797058823529411,7.081249999999999,6.34375,6.65862068965517,3.857142857142857,5.9799999999999995,6.231578947368422,6.123333333333332,5.797727272727273,7.099999999999999,2.708,1.03,0.98,1.166,2.188,0.6,1.417,1.312,1.509,0.6,7.259999999999999,7.259999999999999,7.259999999999999,7.259999999999999,7.259999999999999,7.259999999999999,7.259999999999999,0.98,0.98,0.98,0.98,0.98,0.98,0.98
